theta,a1,z1,E1,machine_type,status,file_name
0,3.8,1.3,-3.603089001378976,2,Done,C5_theta=0_a1=3.8_z1=1.3_1.log
0,3.9,1.3,-3.667474664893234,2,Done,C5_theta=0_a1=3.9_z1=1.3_1.log
0,4.0,1.3,-3.6061324248439632,2,Done,C5_theta=0_a1=4.0_z1=1.3_1.log
5,3.8,1.3,-3.6028963557619136,1,Done,C5_theta=5_a1=3.8_z1=1.3_1.log
5,3.9,1.3,-3.674072932510171,1,Done,C5_theta=5_a1=3.9_z1=1.3_1.log
5,4.0,1.3,-3.6171947985858415,1,Done,C5_theta=5_a1=4.0_z1=1.3_1.log
10,3.8,1.3,-3.535164181375876,2,Done,C5_theta=10_a1=3.8_z1=1.3_1.log
10,3.9,1.3,-3.642635936514125,2,Done,C5_theta=10_a1=3.9_z1=1.3_1.log
10,4.0,1.3,-3.611946932505816,2,Done,C5_theta=10_a1=4.0_z1=1.3_1.log
20,4.0,0.0,-3.403213261073688,1,Done,C5_theta=20_a1=4.0_z1=0.0_1.log
20,4.1,0.0,-3.478198196098674,1,Done,C5_theta=20_a1=4.1_z1=0.0_1.log
20,4.2,0.0,-3.4247663470887346,1,Done,C5_theta=20_a1=4.2_z1=0.0_1.log
25,4.1,0.0,-3.2494965289661195,2,Done,C5_theta=25_a1=4.1_z1=0.0_1.log
30,4.4,0.0,-2.864076749436208,1,Done,C5_theta=30_a1=4.4_z1=0.0_1.log
25,4.0,0.0,-3.0803970167035004,2,Done,C5_theta=25_a1=4.0_z1=0.0_1.log
25,4.2,0.0,-3.2712824211484985,2,Done,C5_theta=25_a1=4.2_z1=0.0_1.log
30,4.3,0.0,-2.902819216818898,1,Done,C5_theta=30_a1=4.3_z1=0.0_1.log
30,4.5,0.0,-2.7619187489472097,1,Done,C5_theta=30_a1=4.5_z1=0.0_1.log
25,4.3,0.0,-3.195331120805349,1,Done,C5_theta=25_a1=4.3_z1=0.0_1.log
30,4.2,0.0,-2.8449954253446776,1,Done,C5_theta=30_a1=4.2_z1=0.0_1.log
15,4.1,0.1,-3.466459366492927,2,Done,C5_theta=15_a1=4.1_z1=0.1_1.log
0,3.7,1.3,-3.347708746601711,1,Done,C5_theta=0_a1=3.7_z1=1.3_1.log
5,3.7,1.3,-3.3386719750997145,2,Done,C5_theta=5_a1=3.7_z1=1.3_1.log
10,3.7,1.3,-3.2215014253743,2,Done,C5_theta=10_a1=3.7_z1=1.3_1.log
15,4.0,0.1,-3.397709998433129,1,Done,C5_theta=15_a1=4.0_z1=0.1_1.log
15,4.2,0.1,-3.404162683771574,2,Done,C5_theta=15_a1=4.2_z1=0.1_1.log
20,3.9,0.0,-3.1308469381619943,2,Done,C5_theta=20_a1=3.9_z1=0.0_1.log
35,4.6,0.0,-2.467683074995876,2,Done,C5_theta=35_a1=4.6_z1=0.0_1.log
35,4.5,0.0,-2.5201385184191167,1,Done,C5_theta=35_a1=4.5_z1=0.0_1.log
35,4.7,0.0,-2.3680846877978183,1,Done,C5_theta=35_a1=4.7_z1=0.0_1.log
40,4.7,0.0,-2.228407864444307,2,Done,C5_theta=40_a1=4.7_z1=0.0_1.log
40,4.6,0.0,-2.2421139378275257,2,Done,C5_theta=40_a1=4.6_z1=0.0_1.log
40,4.8,0.0,-2.1613960714748828,1,Done,C5_theta=40_a1=4.8_z1=0.0_1.log
35,4.4,0.0,-2.499576898248052,2,Done,C5_theta=35_a1=4.4_z1=0.0_1.log
45,5.2,1.2,-1.574664808853413,1,Done,C5_theta=45_a1=5.2_z1=1.2_1.log
45,5.1,1.2,-1.6467512751260074,2,Done,C5_theta=45_a1=5.1_z1=1.2_1.log
45,5.3,1.2,-1.4821547746105352,2,Done,C5_theta=45_a1=5.3_z1=1.2_1.log
50,5.2,1.3,-1.5667939509439748,2,Done,C5_theta=50_a1=5.2_z1=1.3_1.log
50,5.1,1.3,-1.6186036865983624,1,Done,C5_theta=50_a1=5.1_z1=1.3_1.log
50,5.3,1.3,-1.4869897391617997,2,Done,C5_theta=50_a1=5.3_z1=1.3_1.log
45,5.0,1.2,-1.6824798119923798,1,Done,C5_theta=45_a1=5.0_z1=1.2_1.log
50,5.0,1.3,-1.6226228881132556,1,Done,C5_theta=50_a1=5.0_z1=1.3_1.log
55,5.2,1.3,-1.586331474798499,1,Done,C5_theta=55_a1=5.2_z1=1.3_1.log
55,5.1,1.3,-1.634592013870133,1,Done,C5_theta=55_a1=5.1_z1=1.3_1.log
55,5.3,1.3,-1.5081776143342722,2,Done,C5_theta=55_a1=5.3_z1=1.3_1.log
60,5.1,1.3,-1.6772043354139896,2,Done,C5_theta=60_a1=5.1_z1=1.3_1.log
